53072 X1 24.8769 99.6453 0.0 0.0
53055 X1 27.2945 100.842 0.0 0.0
53234 X1 28.2702 104.1233 0.0 0.0
53192 X1 24.2851 104.423 0.0 0.0
53025 X1 26.4633 99.4184 0.0 0.0
53014 X1 27.364 99.087 0.0 0.0
53010 X1 27.7992 100.207 0.0 0.0
53059 X1 26.2944 100.596 0.0 0.0
53056 X1 26.9939 100.999 0.0 0.0
53069 X1 24.5549 99.0325 0.0 0.0
53217 X1 25.2061 104.073 0.0 0.0
53045 X1 25.5945 100.896 0.0 0.0
53214 X1 25.3525 104.387 0.0 0.0
53022 X1 26.8658 99.3807 0.0 0.0
53033 X1 25.6322 99.4024 0.0 0.0
53039 X1 25.3419 99.7771 0.0 0.0
51057 X1 27.7561 101.4677 0.0 0.0
53030 X1 26.36 100.17 0.0 0.0
53058 X1 26.5426 100.493 0.0 0.0
53220 X1 25.6494 104.309 0.0 0.0
53226 X1 25.5252 103.1754 0.0 0.0
51050 X1 28.6185 101.9342 0.0 0.0
53236 X1 27.3594 104.095 0.0 0.0
53171 X1 24.5411 103.758 0.0 0.0
52037 X1 25.915 104.9714 0.0 0.0
53090 X1 24.3191 99.9445 0.0 0.0
53092 X1 24.1603 100.369 0.0 0.0
52028 X1 26.7614 104.9939 0.0 0.0
53160 X1 24.9789 102.3427 0.0 0.0
53037 X1 25.541 99.728 0.0 0.0
