         127.38100          42.25760
         129.59000          44.62000
         186.00000          -0.19643           0.16873
         187.00000          -0.29034           0.66023
         188.00000           0.19770           0.49743
         189.00000           0.28881           0.30217
         190.00000           0.06811           0.35138
         191.00000           0.24431           0.03868
         192.00000           0.40228          -0.34601
         193.00000           0.02406          -0.43477
         194.00000          -0.13353          -0.52714
         195.00000           0.18406          -0.43066
         196.00000           0.14620           0.03316
         197.00000           0.04826           0.21047
         198.00000           0.10763          -0.27564
         199.00000          -0.23466          -0.27253
         200.00000          -0.29090           0.25488
         201.00000           0.03670           0.09906
         202.00000           0.01240           0.00297
         203.00000           0.08265           0.20588
         204.00000           0.11648           0.14990
         205.00000          -0.07127           0.10722
         206.00000          -0.01845          -0.03797
         207.00000          -0.12455           0.03400
         208.00000          -0.36907           0.13557
         209.00000          -0.17072          -0.07529
         210.00000           0.35873          -0.04921
         211.00000           0.47998           0.02060
         212.00000           0.02519          -0.01947
         213.00000          -0.04320          -0.03897
         214.00000           0.01491           0.12927
         215.00000          -0.30684           0.27648
         216.00000           0.03212          -0.08280
         217.00000           0.32396          -0.18975
         218.00000          -0.25055           0.13667
         219.00000          -0.32192           0.02474
         220.00000          -0.12076          -0.11729
         221.00000          -0.13686           0.12815
         222.00000           0.18728          -0.02182
         223.00000           0.27792          -0.22331
         224.00000           0.23041          -0.11472
         225.00000           0.42552          -0.09942
         226.00000           0.22101           0.20509
         227.00000          -0.06311           0.38829
         228.00000          -0.08070           0.13997
         229.00000          -0.18567          -0.03914
         230.00000          -0.29413           0.06235
         231.00000          -0.51819           0.14452
         232.00000          -0.47304          -0.05545
         233.00000          -0.03178          -0.03680
         234.00000           0.17479          -0.11803
         235.00000           0.22188          -0.39672
         236.00000           0.18038          -0.18861
         237.00000           0.11727          -0.04418
         238.00000           0.09531          -0.12883
         239.00000           0.27607          -0.18745
         240.00000           0.53374          -0.21837
         241.00000           0.17516           0.13547
         242.00000          -0.26067           0.17228
         243.00000          -0.15423          -0.03918
         244.00000          -0.16713          -0.13101
         245.00000          -0.38258          -0.37032
         246.00000          -0.21912          -0.14996
         247.00000          -0.00442          -0.02982
         248.00000          -0.06831          -0.09261
         249.00000          -0.12410           0.16845
         250.00000          -0.06856           0.35254
         251.00000           0.07570           0.51130
         252.00000           0.22570           0.45848
         253.00000           0.15001           0.18367
         254.00000          -0.02874           0.02585
         255.00000           0.07119          -0.07223
         256.00000          -0.00938          -0.36384
         257.00000          -0.29950          -0.36474
         258.00000          -0.26825           0.12476
         259.00000          -0.06509           0.44452
         260.00000           0.25130           0.53954
         261.00000           0.33740           0.39125
         262.00000           0.05909           0.10019
         263.00000          -0.00448          -0.12957
         264.00000           0.06545          -0.30831
         265.00000          -0.21151          -0.58644
         266.00000          -0.20620          -0.54307
         267.00000           0.24399          -0.24722
         268.00000           0.12129          -0.49922
         269.00000          -0.05521          -0.11819
         270.00000           0.21326           0.65378
         271.00000           0.25978           0.50653
         272.00000           0.08778           0.32163
         273.00000          -0.06574           0.24849
         274.00000          -0.13421           0.05900
         275.00000           0.04045          -0.05954
         276.00000           0.22069          -0.25077
         277.00000          -0.11625          -0.34897
         278.00000          -0.27862          -0.08797
         279.00000          -0.07275           0.20429
         280.00000          -0.18594           0.28496
         281.00000          -0.15658           0.28804
         282.00000           0.00638           0.08606
         283.00000           0.10874           0.05779
         284.00000           0.20756           0.06842
         285.00000           0.20221          -0.37996
         286.00000           0.12269          -0.72986
         287.00000          -0.20524          -0.63361
         288.00000          -0.34681          -0.19353
         289.00000          -0.13751           0.08675
         290.00000           0.03405           0.22417
         291.00000           0.08847           0.46243
         292.00000           0.13560           0.07768
         293.00000           0.14542          -0.30317
         294.00000          -0.12422          -0.11046
         295.00000          -0.00467          -0.13060
         296.00000           0.27654          -0.14026
         297.00000          -0.22183           0.04726
         298.00000          -0.30072           0.23335
         299.00000           0.13367           0.38592
         300.00000           0.10058           0.15227
         301.00000           0.11742          -0.29575
         302.00000           0.13708          -0.15197
         303.00000           0.04918           0.19014
         304.00000          -0.13427           0.09064
         305.00000          -0.32059           0.12349
         306.00000          -0.18783           0.14723
         307.00000          -0.24841           0.19698
         308.00000          -0.13823           0.35869
         309.00000           0.20691           0.11520
         310.00000           0.09069          -0.26937
         311.00000           0.12335          -0.37601
         312.00000           0.25351          -0.00993
         313.00000           0.08653           0.23275
         314.00000           0.04105           0.14669
         315.00000          -0.03264          -0.00355
         316.00000          -0.27020          -0.31072
         317.00000          -0.35960          -0.14299
         318.00000           0.09172           0.25274
         319.00000           0.50322           0.00721
         320.00000           0.29070          -0.19540
         321.00000           0.23184           0.10171
         322.00000           0.11024           0.26814
         323.00000          -0.27381           0.19472
         324.00000          -0.36501          -0.11454
         325.00000          -0.25274          -0.38626
         326.00000          -0.06239          -0.10099
         327.00000          -0.01278          -0.00827
         328.00000           0.17762          -0.31403
         329.00000           0.41480          -0.10546
         330.00000           0.39977           0.19736
         331.00000           0.43688           0.22484
         332.00000          -0.01912           0.27740
         333.00000          -0.53698           0.18289
         334.00000          -0.42193           0.08964
         335.00000          -0.29134          -0.03588
